edge_type,property,count
CONTRIBUTED_TO,description,199
CONTRIBUTED_TO,description_generated_at,35
CONTRIBUTED_TO,description_input_hash,35
CONTRIBUTED_TO,description_provenance,35
CONTRIBUTED_TO,description_source,35
CONTRIBUTED_TO,description_upgrade_pending,35
CONTRIBUTED_TO,is_current,206
CONTRIBUTED_TO,updated_at,206
CONTRIBUTED_TO,uuid,206
CONTRIBUTED_TO,valid_from,167
CONTRIBUTED_TO,valid_to,142
CONTRIBUTED_TO,weight,206
CO_INVESTORS,confidence,18
CO_INVESTORS,created_at,18
CO_INVESTORS,description,18
CO_INVESTORS,description_generated_at,18
CO_INVESTORS,description_input_hash,15
CO_INVESTORS,description_provenance,15
CO_INVESTORS,description_source,15
CO_INVESTORS,description_upgrade_pending,15
CO_INVESTORS,evidence,18
CO_INVESTORS,evidence_refs,18
CO_INVESTORS,funding_round_uuid,5
CO_INVESTORS,provider,18
CO_INVESTORS,relationship,18
CO_INVESTORS,round,13
CO_INVESTORS,source_names,18
CO_INVESTORS,source_published,18
CO_INVESTORS,source_urls,18
CO_INVESTORS,updated_at,18
CO_INVESTORS,uuid,18
CO_INVESTORS,valid_from,18
CO_INVESTORS,valid_to,18
CO_INVESTORS,via_entity_uuid,18
CO_INVESTORS,via_key,18
CO_INVESTORS,via_organization,18
CO_INVESTORS,weight,18
DEVELOPED_BY,active,4
DEVELOPED_BY,chosen_fact_ids,4
DEVELOPED_BY,company_role_record_ids,3
DEVELOPED_BY,created_at,4
DEVELOPED_BY,description,2
DEVELOPED_BY,description_generated_at,2
DEVELOPED_BY,development_role,4
DEVELOPED_BY,development_scopes,2
DEVELOPED_BY,evidence_ids,4
DEVELOPED_BY,excluded_from_scoring,4
DEVELOPED_BY,layer,4
DEVELOPED_BY,membership_record_ids,1
DEVELOPED_BY,policy_version,4
DEVELOPED_BY,projection_revision,4
DEVELOPED_BY,series_developer_record_ids,2
DEVELOPED_BY,source,4
DEVELOPED_BY,source_urls,4
DEVELOPED_BY,supporting_game_ids,1
DEVELOPED_BY,updated_at,4
DEVELOPED_BY,uuid,4
DEVELOPED_BY,weight,4
DISTRIBUTED_BY,created_at,12
DISTRIBUTED_BY,description,12
DISTRIBUTED_BY,description_generated_at,12
DISTRIBUTED_BY,source,12
DISTRIBUTED_BY,updated_at,12
DISTRIBUTED_BY,uuid,12
DISTRIBUTED_BY,weight,12
FOLLOW_ON_INVESTED_IN,created_at,217
FOLLOW_ON_INVESTED_IN,description,217
FOLLOW_ON_INVESTED_IN,description_generated_at,26
FOLLOW_ON_INVESTED_IN,description_input_hash,26
FOLLOW_ON_INVESTED_IN,description_provenance,26
FOLLOW_ON_INVESTED_IN,description_source,26
FOLLOW_ON_INVESTED_IN,description_upgrade_pending,26
FOLLOW_ON_INVESTED_IN,is_lead_investor,217
FOLLOW_ON_INVESTED_IN,updated_at,217
FOLLOW_ON_INVESTED_IN,uuid,217
FOLLOW_ON_INVESTED_IN,weight,217
FOUNDED,created_at,550
FOUNDED,description,550
FOUNDED,description_generated_at,126
FOUNDED,description_input_hash,126
FOUNDED,description_provenance,126
FOUNDED,description_source,126
FOUNDED,description_upgrade_pending,126
FOUNDED,seniority_level,432
FOUNDED,source,550
FOUNDED,title,550
FOUNDED,updated_at,550
FOUNDED,uuid,550
FOUNDED,valid_from,545
FOUNDED,valid_to,129
FOUNDED,weight,550
FROM_AREA,created_at,29
FROM_AREA,description,24
FROM_AREA,description_generated_at,24
FROM_AREA,description_input_hash,24
FROM_AREA,description_provenance,24
FROM_AREA,description_source,24
FROM_AREA,description_upgrade_pending,24
FROM_AREA,source,29
FROM_AREA,updated_at,29
FROM_AREA,uuid,29
FROM_AREA,weight,29
GRANTED_BY,created_at,77
GRANTED_BY,description,10
GRANTED_BY,description_generated_at,10
GRANTED_BY,description_input_hash,10
GRANTED_BY,description_provenance,10
GRANTED_BY,description_source,10
GRANTED_BY,description_upgrade_pending,10
GRANTED_BY,updated_at,77
GRANTED_BY,uuid,77
GRANTED_BY,weight,77
HAS_AWARD,active,3
HAS_AWARD,award_evidence_record_ids,3
HAS_AWARD,award_result,3
HAS_AWARD,chosen_fact_ids,3
HAS_AWARD,created_at,901
HAS_AWARD,description,3
HAS_AWARD,description_generated_at,3
HAS_AWARD,evidence_ids,3
HAS_AWARD,excluded_from_scoring,3
HAS_AWARD,layer,3
HAS_AWARD,policy_version,3
HAS_AWARD,projection_revision,3
HAS_AWARD,recognition_revision,3
HAS_AWARD,source,3
HAS_AWARD,source_urls,3
HAS_AWARD,updated_at,901
HAS_AWARD,uuid,901
HAS_AWARD,weight,901
HAS_CERTIFICATION,created_at,223
HAS_CERTIFICATION,description,26
HAS_CERTIFICATION,description_generated_at,26
HAS_CERTIFICATION,description_input_hash,26
HAS_CERTIFICATION,description_provenance,26
HAS_CERTIFICATION,description_source,26
HAS_CERTIFICATION,description_upgrade_pending,26
HAS_CERTIFICATION,updated_at,223
HAS_CERTIFICATION,uuid,223
HAS_CERTIFICATION,valid_from,193
HAS_CERTIFICATION,weight,223
HAS_EXPERTISE,confidence,4183
HAS_EXPERTISE,created_at,4183
HAS_EXPERTISE,depth,4183
HAS_EXPERTISE,description,1005
HAS_EXPERTISE,description_generated_at,1005
HAS_EXPERTISE,description_input_hash,1005
HAS_EXPERTISE,description_provenance,1005
