edge_type,property,count
WORKED_ON,layer,4
WORKED_ON,policy_version,4
WORKED_ON,projection_revision,4
WORKED_ON,resolution_method,4
WORKED_ON,role,191
WORKED_ON,role_labels,4
WORKED_ON,roles,4
WORKED_ON,source,195
WORKED_ON,source_urls,4
WORKED_ON,updated_at,195
WORKED_ON,uuid,195
WORKED_ON,weight,195
WORKS_AT,created_at,1136
WORKS_AT,description,1136
WORKS_AT,description_generated_at,217
WORKS_AT,description_input_hash,217
WORKS_AT,description_provenance,217
WORKS_AT,description_source,217
WORKS_AT,description_upgrade_pending,217
WORKS_AT,seniority_level,1136
WORKS_AT,source,1136
WORKS_AT,title,1135
WORKS_AT,total_roles,1136
WORKS_AT,updated_at,1136
WORKS_AT,uuid,1136
WORKS_AT,valid_from,1102
WORKS_AT,valid_to,33
WORKS_AT,weight,1136
